web-scraper-order,web-scraper-start-url,indice,Title,Release Date,Pages
"1653553987-988","https://listfist.com/list-of-one-piece-manga-chapters","988","Sorry For the Wait","August 24, 2020","15"
"1653553987-736","https://listfist.com/list-of-one-piece-manga-chapters","736","Executive Officer Diamante","February 3, 2014","19"
"1653553987-53","https://listfist.com/list-of-one-piece-manga-chapters","53","Sabagashira No. 1","August 24, 1998","19"
"1653553987-950","https://listfist.com/list-of-one-piece-manga-chapters","950","The Warriors' Dreams","July 29, 2019","17"
"1653553987-570","https://listfist.com/list-of-one-piece-manga-chapters","570","Bridge of Life","January 18, 2010","15"
"1653553987-586","https://listfist.com/list-of-one-piece-manga-chapters","586","A Fetid Town","May 31, 2010","19"
"1653553987-356","https://listfist.com/list-of-one-piece-manga-chapters","356","Tom-san","February 28, 2005","19"
"1653553987-791","https://listfist.com/list-of-one-piece-manga-chapters","791","Rubble","June 29, 2015","17"
"1653553987-451","https://listfist.com/list-of-one-piece-manga-chapters","451","Perona's Wonder Garden","April 9, 2007","19"
"1653553987-305","https://listfist.com/list-of-one-piece-manga-chapters","305","Foxy the Silver Fox","January 5, 2004","19"
"1653553987-32","https://listfist.com/list-of-one-piece-manga-chapters","32","Disaster","March 16, 1998","19"
"1653553987-565","https://listfist.com/list-of-one-piece-manga-chapters","565","Path of Oars","November 30, 2009","17"
"1653553987-456","https://listfist.com/list-of-one-piece-manga-chapters","456","Demon from the Frozen Land","May 21, 2007","19"
"1653553987-477","https://listfist.com/list-of-one-piece-manga-chapters","477","3/8","November 5, 2007","19"
"1653553987-67","https://listfist.com/list-of-one-piece-manga-chapters","67","Soup","November 30, 1998","19"
"1653553987-858","https://listfist.com/list-of-one-piece-manga-chapters","858","Meeting","March 13, 2017","19"
"1653553987-617","https://listfist.com/list-of-one-piece-manga-chapters","617","Major Incident on Coral Hill","March 14, 2011","17"
"1653553987-191","https://listfist.com/list-of-one-piece-manga-chapters","191","The Woman Who Controls the Weather","July 16, 2001","19"
"1653553987-234","https://listfist.com/list-of-one-piece-manga-chapters","234","Please Be Sure to Remember It","June 17, 2002","19"
"1653553987-124","https://listfist.com/list-of-one-piece-manga-chapters","124","Damn Good Tea","February 21, 2000","19"
"1653553987-915","https://listfist.com/list-of-one-piece-manga-chapters","915","Bakura Town","August 27, 2018","17"
"1653553987-770","https://listfist.com/list-of-one-piece-manga-chapters","770","The Spear of Elbaf","December 15, 2014","17"
"1653553987-141","https://listfist.com/list-of-one-piece-manga-chapters","141","Quack Doctor","June 26, 2000","19"
"1653553987-204","https://listfist.com/list-of-one-piece-manga-chapters","204","Red","October 22, 2001","19"
"1653553987-878","https://listfist.com/list-of-one-piece-manga-chapters","878","Mink Tribe, Guardians Captain Pedro","September 16, 2017","19"
"1653553987-682","https://listfist.com/list-of-one-piece-manga-chapters","682","Mastermind","September 24, 2012","19"
"1653553987-745","https://listfist.com/list-of-one-piece-manga-chapters","745","Birdcage","April 28, 2014","19"
"1653553987-63","https://listfist.com/list-of-one-piece-manga-chapters","63","I Ain't Gonna Die","November 2, 1998","19"
"1653553987-433","https://listfist.com/list-of-one-piece-manga-chapters","433","The Name of that Sea is","November 6, 2006","19"
"1653553987-244","https://listfist.com/list-of-one-piece-manga-chapters","244","SOS","September 2, 2002","19"
"1653553987-789","https://listfist.com/list-of-one-piece-manga-chapters","789","Lucy!!","June 8, 2015","19"
"1653553987-318","https://listfist.com/list-of-one-piece-manga-chapters","318","Closure","April 19, 2004","19"
"1653553987-560","https://listfist.com/list-of-one-piece-manga-chapters","560","The Prisoners of Impel Down","October 10, 2009","17"
"1653553987-891","https://listfist.com/list-of-one-piece-manga-chapters","891","Believing in Me","January 15, 2018","17"
"1653553987-831","https://listfist.com/list-of-one-piece-manga-chapters","831","Adventure in the Mysterious Forest","July 4, 2016","17"
"1653553987-502","https://listfist.com/list-of-one-piece-manga-chapters","502","The Celestial Dragon Incident","June 9, 2008","19"
"1653553987-584","https://listfist.com/list-of-one-piece-manga-chapters","584","The Porchemy Incident","May 17, 2010","17"
"1653553987-521","https://listfist.com/list-of-one-piece-manga-chapters","521","The Hoof of Celestial Dragons","November 10, 2008","19"
"1653553987-684","https://listfist.com/list-of-one-piece-manga-chapters","684","Stop It, Vegapunk","October 15, 2012","19"
"1653553987-120","https://listfist.com/list-of-one-piece-manga-chapters","120","The Red Ogre Cried","January 24, 2000","19"
"1653553987-348","https://listfist.com/list-of-one-piece-manga-chapters","348","Combat Power","December 13, 2004","19"
"1653553987-272","https://listfist.com/list-of-one-piece-manga-chapters","272","Play","April 14, 2003","19"
"1653553987-621","https://listfist.com/list-of-one-piece-manga-chapters","621","Otohime and Tiger","April 18, 2011","17"
"1653553987-483","https://listfist.com/list-of-one-piece-manga-chapters","483","End of the Dream","December 25, 2007","19"
"1653553987-89","https://listfist.com/list-of-one-piece-manga-chapters","89","Switch","May 24, 1999","19"
"1653553987-673","https://listfist.com/list-of-one-piece-manga-chapters","673","Vergo and Joker","July 9, 2012","19"
"1653553987-834","https://listfist.com/list-of-one-piece-manga-chapters","834","My Dream","August 1, 2016","17"
"1653553987-499","https://listfist.com/list-of-one-piece-manga-chapters","499","Sabaody Park","May 19, 2008","19"
"1653553987-676","https://listfist.com/list-of-one-piece-manga-chapters","676","The Perfected Weapon of Mass Destruction","August 6, 2012","19"
"1653553987-708","https://listfist.com/list-of-one-piece-manga-chapters","708","Colosseum of Rascals","May 13, 2013","15"
"1653553987-798","https://listfist.com/list-of-one-piece-manga-chapters","798","Heart","August 31, 2015","17"
"1653553987-506","https://listfist.com/list-of-one-piece-manga-chapters","506","Roger and Rayleigh","July 7, 2008","19"
"1653553987-1011","https://listfist.com/list-of-one-piece-manga-chapters","1011","Anko Standards","April 26, 2021","19"
"1653553987-100","https://listfist.com/list-of-one-piece-manga-chapters","100","The Legend Has Begun","August 9, 1999","24"
"1653553987-277","https://listfist.com/list-of-one-piece-manga-chapters","277","Maxim","May 26, 2003","19"
"1653553987-403","https://listfist.com/list-of-one-piece-manga-chapters","403","Mr. Chivalry","March 13, 2006","19"
"1653553987-935","https://listfist.com/list-of-one-piece-manga-chapters","935","Queen","March 11, 2019","17"
"1653553987-825","https://listfist.com/list-of-one-piece-manga-chapters","825","The WEJ's Comic Strip","May 9, 2016","13"
"1653553987-718","https://listfist.com/list-of-one-piece-manga-chapters","718","The Riku Royal Army in the Flower Fields","August 26, 2013","19"
"1653553987-407","https://listfist.com/list-of-one-piece-manga-chapters","407","Monster","April 17, 2006","19"
"1653553987-313","https://listfist.com/list-of-one-piece-manga-chapters","313","Main Event","March 8, 2004","19"
"1653553987-134","https://listfist.com/list-of-one-piece-manga-chapters","134","Dr. Kureha","May 8, 2000","19"
"1653553987-431","https://listfist.com/list-of-one-piece-manga-chapters","431","Fist of Love","October 23, 2006","19"
"1653553987-636","https://listfist.com/list-of-one-piece-manga-chapters","636","The General From the Future Land","August 29, 2011","19"
"1653553987-326","https://listfist.com/list-of-one-piece-manga-chapters","326","Iceburg-san","June 21, 2004","17"
"1653553987-927","https://listfist.com/list-of-one-piece-manga-chapters","927","The Courtesan's Kamuro","December 10, 2018","15"
"1653553987-136","https://listfist.com/list-of-one-piece-manga-chapters","136","The Man Called Dalton","May 22, 2000","19"
"1653553987-500","https://listfist.com/list-of-one-piece-manga-chapters","500","Embers of History","May 26, 2008","19"
"1653553987-871","https://listfist.com/list-of-one-piece-manga-chapters","871","You Can Do It, Caesar!!","July 10, 2017","17"
"1653553987-59","https://listfist.com/list-of-one-piece-manga-chapters","59","Obligation","October 5, 1998","19"
"1653553987-864","https://listfist.com/list-of-one-piece-manga-chapters","864","The Vinsmoke Family Massacre Plan","May 8, 2017","17"
"1653553987-535","https://listfist.com/list-of-one-piece-manga-chapters","535","Friends","March 16, 2009","19"
"1653553987-601","https://listfist.com/list-of-one-piece-manga-chapters","601","Romance Dawn for the new world - The Dawn of an Adventure into the New World","October 25, 2010","19"
"1653553987-862","https://listfist.com/list-of-one-piece-manga-chapters","862","The Intelligent Ones","April 17, 2017","17"
"1653553987-543","https://listfist.com/list-of-one-piece-manga-chapters","543","Straw Hat and Blackbeard","May 25, 2009","19"
"1653553987-220","https://listfist.com/list-of-one-piece-manga-chapters","220","Sea Floor Stroll","March 4, 2002","19"
"1653553987-397","https://listfist.com/list-of-one-piece-manga-chapters","397","In Order to Reach the Future","January 30, 2006","19"
"1653553987-931","https://listfist.com/list-of-one-piece-manga-chapters","931","Soba Mask","February 4, 2019","17"
"1653553987-775","https://listfist.com/list-of-one-piece-manga-chapters","775","To Russian, With Love","February 2, 2015","19"
"1653553987-840","https://listfist.com/list-of-one-piece-manga-chapters","840","Iron Mask","September 26, 2016","17"
"1653553987-813","https://listfist.com/list-of-one-piece-manga-chapters","813","Tea Party Invitation","January 25, 2016","17"
"1653553987-176","https://listfist.com/list-of-one-piece-manga-chapters","176","Rush!!","March 26, 2001","19"
"1653553987-164","https://listfist.com/list-of-one-piece-manga-chapters","164","I Love This Country","December 11, 2000","19"
"1653553987-55","https://listfist.com/list-of-one-piece-manga-chapters","55","Jungle Blood","September 7, 1998","19"
"1653553987-947","https://listfist.com/list-of-one-piece-manga-chapters","947","Queen's Gamble","July 1, 2019","17"
"1653553987-944","https://listfist.com/list-of-one-piece-manga-chapters","944","Partner","June 3, 2019","17"
"1653553987-353","https://listfist.com/list-of-one-piece-manga-chapters","353","The Legendary Shipwright","January 31, 2005","19"
"1653553987-267","https://listfist.com/list-of-one-piece-manga-chapters","267","March","March 3, 2003","19"
"1653553987-60","https://listfist.com/list-of-one-piece-manga-chapters","60","Between Right and Wrong","October 12, 1998","19"
"1653553987-5","https://listfist.com/list-of-one-piece-manga-chapters","5","Pirate King and Master Swordsman","August 25, 1997","19"
"1653553987-822","https://listfist.com/list-of-one-piece-manga-chapters","822","Descending the Elephant","April 11, 2016","17"
"1653553987-628","https://listfist.com/list-of-one-piece-manga-chapters","628","Major Cleanup","June 20, 2011","19"
"1653553987-536","https://listfist.com/list-of-one-piece-manga-chapters","536","Level 5 Frozen Hell","March 23, 2009","19"
"1653553987-132","https://listfist.com/list-of-one-piece-manga-chapters","132","See?","April 17, 2000","19"
"1653553987-24","https://listfist.com/list-of-one-piece-manga-chapters","24","Things That Can't Be Faked","January 19, 1998","19"
"1653553987-339","https://listfist.com/list-of-one-piece-manga-chapters","339","Rumors","October 4, 2004","19"
"1653553987-449","https://listfist.com/list-of-one-piece-manga-chapters","449","The Mysterious Four of Thriller Bark","March 26, 2007","19"
"1653553987-459","https://listfist.com/list-of-one-piece-manga-chapters","459","Being Dead Isn't an Apology","June 11, 2007","19"
"1653553987-960","https://listfist.com/list-of-one-piece-manga-chapters","960","Kozuki Oden Takes the Stage","October 28, 2019","17"
"1653553987-836","https://listfist.com/list-of-one-piece-manga-chapters","836","The Vivre Card Lola Gave","August 22, 2016","15"
"1653553987-298","https://listfist.com/list-of-one-piece-manga-chapters","298","Love Song","November 1, 2003","19"
"1653553987-665","https://listfist.com/list-of-one-piece-manga-chapters","665","Candy","May 7, 2012","17"
"1653553987-265","https://listfist.com/list-of-one-piece-manga-chapters","265","Robin the Pirate vs. Yama the Head Holy Warrior","February 17, 2003","19"
"1653553987-366","https://listfist.com/list-of-one-piece-manga-chapters","366","Sortie!!","May 16, 2005","19"
"1653553987-434","https://listfist.com/list-of-one-piece-manga-chapters","434","Whitebeard and Redhair","November 13, 2006","19"
"1653553987-413","https://listfist.com/list-of-one-piece-manga-chapters","413","Hunter","June 5, 2006","19"
"1653553987-890","https://listfist.com/list-of-one-piece-manga-chapters","890","Big Mom on the Ship","January 4, 2018","19"
"1653553987-644","https://listfist.com/list-of-one-piece-manga-chapters","644","To Zero","October 31, 2011","19"
"1653553987-674","https://listfist.com/list-of-one-piece-manga-chapters","674","Spectators","July 14, 2012","17"
"1653553987-528","https://listfist.com/list-of-one-piece-manga-chapters","528","Jinbe, Knight of the Sea","January 19, 2009","19"
"1653553987-144","https://listfist.com/list-of-one-piece-manga-chapters","144","Snow Story","July 17, 2000","19"
"1653553987-239","https://listfist.com/list-of-one-piece-manga-chapters","239","Angel Beach","July 22, 2002","17"
"1653553987-540","https://listfist.com/list-of-one-piece-manga-chapters","540","Level 6 Eternal Hell","April 27, 2009","19"
"1653553987-408","https://listfist.com/list-of-one-piece-manga-chapters","408","Monster vs. Kumadori","April 24, 2006","19"
"1653553987-580","https://listfist.com/list-of-one-piece-manga-chapters","580","End of the War","April 5, 2010","15"
"1653553987-420","https://listfist.com/list-of-one-piece-manga-chapters","420","Buster Call","July 24, 2006","19"
"1653553987-54","https://listfist.com/list-of-one-piece-manga-chapters","54","Pearl-san","August 31, 1998","19"
"1653553987-341","https://listfist.com/list-of-one-piece-manga-chapters","341","Devil","October 18, 2004","19"
"1653553987-66","https://listfist.com/list-of-one-piece-manga-chapters","66","The Spear Is Stifled","November 21, 1998","19"
"1653553987-1049","https://listfist.com/list-of-one-piece-manga-chapters","1049","The World That Should Be","May 16, 2022","17"
"1653553987-400","https://listfist.com/list-of-one-piece-manga-chapters","400","The Releasing Key","February 20, 2006","19"
"1653553987-1039","https://listfist.com/list-of-one-piece-manga-chapters","1039","Top Billing","February 7, 2022","19"
"1653553987-911","https://listfist.com/list-of-one-piece-manga-chapters","911","Adventure in the Land of Samurai","July 14, 2018","19"
"1653553987-304","https://listfist.com/list-of-one-piece-manga-chapters","304","Adventure on a Long Island","December 22, 2003","21"
"1653553987-497","https://listfist.com/list-of-one-piece-manga-chapters","497","Adventure on the Archipelago of Dancing Soap Bubbles","April 21, 2008","19"
"1653553987-297","https://listfist.com/list-of-one-piece-manga-chapters","297","Praises of the Earth","October 27, 2003","19"
"1653553987-592","https://listfist.com/list-of-one-piece-manga-chapters","592","Yell","July 17, 2010","19"
"1653553987-918","https://listfist.com/list-of-one-piece-manga-chapters","918","Luffy-tarou Repays the Favor","September 22, 2018","17"
"1653553987-1021","https://listfist.com/list-of-one-piece-manga-chapters","1021","Demonio","August 10, 2021","17"
"1653553987-868","https://listfist.com/list-of-one-piece-manga-chapters","868","KX Launcher","June 12, 2017","17"
"1653553987-20","https://listfist.com/list-of-one-piece-manga-chapters","20","A Thief's Philosophy","December 8, 1997","19"
"1653553987-952","https://listfist.com/list-of-one-piece-manga-chapters","952","Hiyori and Kawamatsu","August 19, 2019","17"
"1653553987-824","https://listfist.com/list-of-one-piece-manga-chapters","824","Whim","April 25, 2016","19"
"1653553987-773","https://listfist.com/list-of-one-piece-manga-chapters","773","Half & Half","January 19, 2015","19"
"1653553987-181","https://listfist.com/list-of-one-piece-manga-chapters","181","Super Spot-Billed Duck Quiz","May 7, 2001","19"
"1653553987-620","https://listfist.com/list-of-one-piece-manga-chapters","620","The Longed-For Amusement Park","April 11, 2011","17"
"1653553987-439","https://listfist.com/list-of-one-piece-manga-chapters","439","The Third and the Seventh","December 25, 2006","19"
"1653553987-727","https://listfist.com/list-of-one-piece-manga-chapters","727","The Lurking Hero","November 11, 2013","19"
"1653553987-126","https://listfist.com/list-of-one-piece-manga-chapters","126","Instinct","March 6, 2000","19"
"1653553987-544","https://listfist.com/list-of-one-piece-manga-chapters","544","Even the Lid of Hell's Cauldron Will Open","June 1, 2009","19"
"1653553987-1032","https://listfist.com/list-of-one-piece-manga-chapters","1032","Oden's Beloved Blade","November 22, 2021","17"
"1653553987-623","https://listfist.com/list-of-one-piece-manga-chapters","623","Pirate Fisher Tiger","May 9, 2011","19"
"1653553987-564","https://listfist.com/list-of-one-piece-manga-chapters","564","The Man Who Shakes The World","November 21, 2009","17"
"1653553987-367","https://listfist.com/list-of-one-piece-manga-chapters","367","Sogeking","May 23, 2005","19"
"1653553987-27","https://listfist.com/list-of-one-piece-manga-chapters","27","Plan","February 9, 1998","21"
"1653553987-771","https://listfist.com/list-of-one-piece-manga-chapters","771","Happo Navy Don Sai","December 22, 2014","19"
"1653553987-35","https://listfist.com/list-of-one-piece-manga-chapters","35","Neo Hill Road","April 6, 1998","19"
"1653553987-892","https://listfist.com/list-of-one-piece-manga-chapters","892","Recognized as Strong Opponents","January 29, 2018","17"
"1653553987-398","https://listfist.com/list-of-one-piece-manga-chapters","398","Declaration of War","February 6, 2006","19"
"1653553987-149","https://listfist.com/list-of-one-piece-manga-chapters","149","Rumble!!","August 28, 2000","19"
"1653553987-18","https://listfist.com/list-of-one-piece-manga-chapters","18","Pirate ""Buggy the Clown""","November 22, 1997","19"
"1653553987-314","https://listfist.com/list-of-one-piece-manga-chapters","314","Combat!!!","March 15, 2004","19"
"1653553987-604","https://listfist.com/list-of-one-piece-manga-chapters","604","Into the Depths","November 15, 2010","19"
"1653553987-569","https://listfist.com/list-of-one-piece-manga-chapters","569","White Monster","January 4, 2010","15"
"1653553987-38","https://listfist.com/list-of-one-piece-manga-chapters","38","Pirate Crew","April 27, 1998","20"
"1653553987-909","https://listfist.com/list-of-one-piece-manga-chapters","909","Seppuku","July 2, 2018","17"
"1653553987-251","https://listfist.com/list-of-one-piece-manga-chapters","251","Overture","October 28, 2002","19"
"1653553987-725","https://listfist.com/list-of-one-piece-manga-chapters","725","The Undefeated Woman","October 21, 2013","17"
"1653553987-308","https://listfist.com/list-of-one-piece-manga-chapters","308","The Grand Interference Plan","February 2, 2004","19"
"1653553987-1022","https://listfist.com/list-of-one-piece-manga-chapters","1022","The Stars Take the Stage","August 23, 2021","17"
"1653553987-320","https://listfist.com/list-of-one-piece-manga-chapters","320","Greatest Power","May 10, 2004","19"
"1653553987-671","https://listfist.com/list-of-one-piece-manga-chapters","671","Gasu Gasu no Mi","June 18, 2012","17"
"1653553987-603","https://listfist.com/list-of-one-piece-manga-chapters","603","Keep It in Your Heart","November 8, 2010","17"
"1653553987-855","https://listfist.com/list-of-one-piece-manga-chapters","855","Gugyurururu!!!","February 13, 2017","17"
"1653553987-152","https://listfist.com/list-of-one-piece-manga-chapters","152","Full Moon","September 18, 2000","19"
"1653553987-990","https://listfist.com/list-of-one-piece-manga-chapters","990","Army of One","September 14, 2020","17"
"1653553987-735","https://listfist.com/list-of-one-piece-manga-chapters","735","Fujitora's Intention","January 27, 2014","19"
"1653553987-68","https://listfist.com/list-of-one-piece-manga-chapters","68","The Fourth Person","December 7, 1998","19"
"1653553987-464","https://listfist.com/list-of-one-piece-manga-chapters","464","Sanji's Dream","July 23, 2007","19"
"1653553987-904","https://listfist.com/list-of-one-piece-manga-chapters","904","The Entrance of the Revolutionary Army Commanders","May 14, 2018","15"
"1653553987-45","https://listfist.com/list-of-one-piece-manga-chapters","45","Before the Storm","June 22, 1998","18"
"1653553987-525","https://listfist.com/list-of-one-piece-manga-chapters","525","Underwater Prison Impel Down","December 8, 2008","17"
"1653553987-896","https://listfist.com/list-of-one-piece-manga-chapters","896","The Last Request","March 5, 2018","17"
"1653553987-900","https://listfist.com/list-of-one-piece-manga-chapters","900","Bad End Musical","April 2, 2018","19"
"1653553987-475","https://listfist.com/list-of-one-piece-manga-chapters","475","The Forest Pirates","October 22, 2007","19"
"1653553987-293","https://listfist.com/list-of-one-piece-manga-chapters","293","Bolero","September 29, 2003","19"
"1653553987-115","https://listfist.com/list-of-one-piece-manga-chapters","115","Adventure in Little Garden","December 6, 1999","19"
"1653553987-48","https://listfist.com/list-of-one-piece-manga-chapters","48","Leave That Path Alone","July 13, 1998","19"
"1653553987-130","https://listfist.com/list-of-one-piece-manga-chapters","130","Maximum Speed","April 3, 2000","19"
"1653553987-667","https://listfist.com/list-of-one-piece-manga-chapters","667","Cool Fight","May 21, 2012","19"
"1653553987-602","https://listfist.com/list-of-one-piece-manga-chapters","602","Rudder Straight Down!!","November 1, 2010","17"
"1653553987-29","https://listfist.com/list-of-one-piece-manga-chapters","29","Hill Road","February 23, 1998","21"
"1653553987-399","https://listfist.com/list-of-one-piece-manga-chapters","399","Jump into the Waterfall!!","February 13, 2006","19"
"1653553987-495","https://listfist.com/list-of-one-piece-manga-chapters","495","Gaon Cannon","April 7, 2008","19"
"1653553987-641","https://listfist.com/list-of-one-piece-manga-chapters","641","What Are You?","October 8, 2011","19"
"1653553987-955","https://listfist.com/list-of-one-piece-manga-chapters","955","Enma","September 14, 2019","17"
"1653553987-194","https://listfist.com/list-of-one-piece-manga-chapters","194","Cut Through Steel","August 6, 2001","18"
"1653553987-732","https://listfist.com/list-of-one-piece-manga-chapters","732","The Underground World","December 21, 2013","19"
"1653553987-874","https://listfist.com/list-of-one-piece-manga-chapters","874","Become My Servant","August 7, 2017","19"
"1653553987-198","https://listfist.com/list-of-one-piece-manga-chapters","198","4:15 p.m.","September 10, 2001","19"
"1653553987-992","https://listfist.com/list-of-one-piece-manga-chapters","992","Remnants","October 17, 2020","19"
"1653553987-259","https://listfist.com/list-of-one-piece-manga-chapters","259","Zoro the Pirate vs. Braham the Warrior","December 30, 2002","19"
"1653553987-767","https://listfist.com/list-of-one-piece-manga-chapters","767","Cora-san","November 17, 2014","17"
"1653553987-419","https://listfist.com/list-of-one-piece-manga-chapters","419","The Legendary Hero","July 15, 2006","19"
"1653553987-42","https://listfist.com/list-of-one-piece-manga-chapters","42","Yosaku and Johnny","June 1, 1998","19"
"1653553987-1045","https://listfist.com/list-of-one-piece-manga-chapters","1045","Next Level","April 4, 2022","19"
"1653553987-428","https://listfist.com/list-of-one-piece-manga-chapters","428","Let's Return","September 25, 2006","19"
"1653553987-811","https://listfist.com/list-of-one-piece-manga-chapters","811","Roko","January 4, 2016","19"
"1653553987-861","https://listfist.com/list-of-one-piece-manga-chapters","861","Good Actor","April 3, 2017","17"
"1653553987-999","https://listfist.com/list-of-one-piece-manga-chapters","999","The Sake I Brewed to Drink With You","December 21, 2020","19"
"1653553987-677","https://listfist.com/list-of-one-piece-manga-chapters","677","Counter Hazard!!","August 20, 2012","19"
"1653553987-849","https://listfist.com/list-of-one-piece-manga-chapters","849","Choniki in Mirrorland","December 12, 2016","17"
"1653553987-882","https://listfist.com/list-of-one-piece-manga-chapters","882","Beyond the Yonko's Expectations","October 23, 2017","17"
"1653553987-1029","https://listfist.com/list-of-one-piece-manga-chapters","1029","The Tower","October 25, 2021","17"
"1653553987-663","https://listfist.com/list-of-one-piece-manga-chapters","663","CC","April 16, 2012","19"
"1653553987-661","https://listfist.com/list-of-one-piece-manga-chapters","661","The Lake of Bandits","March 26, 2012","19"
"1653553987-756","https://listfist.com/list-of-one-piece-manga-chapters","756","The Fourth Level","August 11, 2014","19"
"1653553987-96","https://listfist.com/list-of-one-piece-manga-chapters","96","Greatest Evil of the East","July 12, 1999","19"
"1653553987-99","https://listfist.com/list-of-one-piece-manga-chapters","99","Luffy Died","August 2, 1999","19"
"1653553987-211","https://listfist.com/list-of-one-piece-manga-chapters","211","King","December 10, 2001","19"
"1653553987-462","https://listfist.com/list-of-one-piece-manga-chapters","462","Oars' Adventure","July 9, 2007","19"
"1653553987-503","https://listfist.com/list-of-one-piece-manga-chapters","503","An Island in Chaos","June 16, 2008","19"
"1653553987-213","https://listfist.com/list-of-one-piece-manga-chapters","213","VIP","December 28, 2001","23"
"1653553987-857","https://listfist.com/list-of-one-piece-manga-chapters","857","Rook","March 6, 2017","17"
"1653553987-938","https://listfist.com/list-of-one-piece-manga-chapters","938","Her Secret","April 1, 2019","13"
"1653553987-895","https://listfist.com/list-of-one-piece-manga-chapters","895","Pirate Luffy vs. Commander Katakuri","February 19, 2018","17"
"1653553987-635","https://listfist.com/list-of-one-piece-manga-chapters","635","So Disgusting It Makes Me Fly","August 22, 2011","19"
"1653553987-720","https://listfist.com/list-of-one-piece-manga-chapters","720","Prisoner Gladiators","September 9, 2013","19"
"1653553987-376","https://listfist.com/list-of-one-piece-manga-chapters","376","Got It!!!","August 1, 2005","19"
"1653553987-548","https://listfist.com/list-of-one-piece-manga-chapters","548","Thank You","June 29, 2009","19"
"1653553987-979","https://listfist.com/list-of-one-piece-manga-chapters","979","Family Problems","May 11, 2020","17"
"1653553987-489","https://listfist.com/list-of-one-piece-manga-chapters","489","The Eighth","February 25, 2008","19"
"1653553987-345","https://listfist.com/list-of-one-piece-manga-chapters","345","The Concealed","November 15, 2004","19"
"1653553987-1042","https://listfist.com/list-of-one-piece-manga-chapters","1042","The Victor Needs No Epithet","March 7, 2022","17"
"1653553987-43","https://listfist.com/list-of-one-piece-manga-chapters","43","Introducing Sanji","June 8, 1998","19"
"1653553987-746","https://listfist.com/list-of-one-piece-manga-chapters","746","Stars","May 12, 2014","19"
"1653553987-490","https://listfist.com/list-of-one-piece-manga-chapters","490","Arriving Once Again","March 3, 2008","19"
"1653553987-987","https://listfist.com/list-of-one-piece-manga-chapters","987","The Brocade of Loyal Retainers","August 11, 2020","19"
"1653553987-571","https://listfist.com/list-of-one-piece-manga-chapters","571","Execution Platform","January 25, 2010","17"
"1653553987-687","https://listfist.com/list-of-one-piece-manga-chapters","687","Wild Animal","November 5, 2012","19"
"1653553987-507","https://listfist.com/list-of-one-piece-manga-chapters","507","Kizaru Arrives","July 19, 2008","19"
"1653553987-690","https://listfist.com/list-of-one-piece-manga-chapters","690","SAD","December 3, 2012","19"
"1653553987-263","https://listfist.com/list-of-one-piece-manga-chapters","263","Nami the Pirate and the Weird Knight vs. the Holy Guard Second-in-Command Hotori and Kotori","February 3, 2003","19"
"1653553987-796","https://listfist.com/list-of-one-piece-manga-chapters","796","Soldier-san's Determination","August 10, 2015","19"
"1653553987-997","https://listfist.com/list-of-one-piece-manga-chapters","997","Flames","November 29, 2020","17"
"1653553987-910","https://listfist.com/list-of-one-piece-manga-chapters","910","Onward to Wano Country","July 9, 2018","17"
"1653553987-442","https://listfist.com/list-of-one-piece-manga-chapters","442","Adventure in the Demon Sea","January 29, 2007","19"
"1653553987-349","https://listfist.com/list-of-one-piece-manga-chapters","349","One Citizen","December 20, 2004","19"
"1653553987-410","https://listfist.com/list-of-one-piece-manga-chapters","410","Nami Becomes Huge","May 15, 2006","19"
"1653553987-524","https://listfist.com/list-of-one-piece-manga-chapters","524","No One Can Stop This Now","December 1, 2008","19"
"1653553987-312","https://listfist.com/list-of-one-piece-manga-chapters","312","Goal!!","March 1, 2004","19"
"1653553987-719","https://listfist.com/list-of-one-piece-manga-chapters","719","Open Chinjao","September 2, 2013","19"
"1653553987-113","https://listfist.com/list-of-one-piece-manga-chapters","113","It's Okay!!!","November 15, 1999","19"
"1653553987-893","https://listfist.com/list-of-one-piece-manga-chapters","893","36th Daughter of the Charlotte Family - Flampe","February 5, 2018","17"
"1653553987-852","https://listfist.com/list-of-one-piece-manga-chapters","852","Germa's Failure","January 16, 2017","17"
"1653553987-1000","https://listfist.com/list-of-one-piece-manga-chapters","1000","Straw Hat Luffy","January 4, 2021","19"
"1653553987-1048","https://listfist.com/list-of-one-piece-manga-chapters","1048","Twenty Years","May 9, 2022","17"
"1653553987-973","https://listfist.com/list-of-one-piece-manga-chapters","973","The Kozuki Clan","March 9, 2020","17"
"1653553987-488","https://listfist.com/list-of-one-piece-manga-chapters","488","Song of Life","February 9, 2008","19"
"1653553987-523","https://listfist.com/list-of-one-piece-manga-chapters","523","Hell","November 22, 2008","19"
"1653553987-361","https://listfist.com/list-of-one-piece-manga-chapters","361","P.S.","April 4, 2005","19"
"1653553987-76","https://listfist.com/list-of-one-piece-manga-chapters","76","Sleep","February 15, 1999","19"
"1653553987-688","https://listfist.com/list-of-one-piece-manga-chapters","688","Mocha","November 12, 2012","19"
"1653553987-922","https://listfist.com/list-of-one-piece-manga-chapters","922","Beasts Pirates General: Kaido","October 29, 2018","17"
"1653553987-986","https://listfist.com/list-of-one-piece-manga-chapters","986","My Name","August 3, 2020","17"
"1653553987-751","https://listfist.com/list-of-one-piece-manga-chapters","751","Sabo vs. Admiral Fujitora","June 30, 2014","17"
